                          name     before      after      delta
         us-east-1b-g3.4xlarge    4654.45     891.36   -3763.08
        us-east-1b-cc2.8xlarge    4556.16     679.00   -3877.16
         us-west-1b-i3.8xlarge    6058.31    2120.22   -3938.09
          us-east-1a-c3.xlarge    4536.00     453.60   -4082.40
         us-west-2c-d2.4xlarge    5903.96    1788.72   -4115.24
        us-west-1a-m4.10xlarge    5797.06    1568.21   -4228.85
         us-east-2c-g3.8xlarge    7350.74    3097.80   -4252.94
          us-east-1a-m2.xlarge    4533.22      92.02   -4441.20
         us-east-1a-c4.4xlarge    5047.25     528.36   -4518.90
         us-east-2a-i3.4xlarge    5546.91     915.13   -4631.78
         us-west-2b-i3.4xlarge    5585.17     879.30   -4705.87
          us-east-1a-m3.xlarge    6048.00     574.56   -5473.44
         us-east-1a-c4.8xlarge    6525.79    1048.19   -5477.60
        us-west-2c-i3.16xlarge    8861.85    3236.04   -5625.80
         us-east-2b-i3.4xlarge    6630.71     938.70   -5692.01
        us-west-2a-m4.10xlarge    7375.08    1316.04   -6059.04
          us-east-1a-i3.xlarge    6739.20     673.92   -6065.28
          us-east-1a-c1.xlarge    6692.79     139.24   -6553.55
         us-east-2a-d2.4xlarge    8344.98    1788.48   -6556.50
        us-west-2b-x1.16xlarge   11170.75    4470.39   -6700.36
          us-east-1a-r3.xlarge    7560.00     719.28   -6840.72
         us-west-2b-g2.8xlarge    8654.87    1792.96   -6861.91
         us-west-2b-d2.4xlarge    8852.66    1797.42   -7055.24
        us-east-1a-x1.16xlarge   12285.58    4417.42   -7868.16
         us-east-1b-g3.8xlarge    9557.87    1601.16   -7956.72
         us-east-1b-d2.4xlarge    9854.89    1788.48   -8066.41
         us-east-1b-i3.8xlarge    9815.17    1719.77   -8095.40
         us-west-2b-r4.8xlarge    9376.61    1213.57   -8163.04
         us-east-1a-c3.2xlarge    9072.00     907.20   -8164.80
         us-west-1a-g3.4xlarge   10158.88    1065.08   -9093.80
         us-west-2a-g2.8xlarge   10999.21    1739.57   -9259.64
         us-east-1b-d2.8xlarge   12971.56    3576.96   -9394.60
         us-east-1a-m2.2xlarge   10581.20     870.86   -9710.33
         us-east-1a-m3.2xlarge   12096.00    1149.12  -10946.88
        us-west-1a-i3.16xlarge   16070.60    5109.09  -10961.51
         us-east-1b-d2.2xlarge   12018.96     894.24  -11124.72
